Full Reference,Reference,doi,url,dir,title,au1,journal,scopus_id,nrefs,type,maybe
"Farsalinos KE, Voudris V, Poulas K. E-cigarettes generate high levels of aldehydes only in ‘dry puff ’ conditions. Addiction 2015;110:1352–6.","Farsalinos, KE et al. (2015f)",10.1111/add.12942,NA,NA,E-cigarettes generate high levels of aldehydes only in 'dry puff' conditions,Farsalinos K.,Addiction,SCOPUS_ID:84936955095,2,Journal article,0
"Stead LF, Perera R, Bullen C, Mant D, Lancaster T. Nicotine replacement therapy for smoking cessation (review). Available at: http://www.thecochranelibrary.com/userfiles/ccoch/file/World%20No%20Tobacco%20Day/CD000146.pdf. Accessed December 11, 2014.","Stead, LF et al. (2012)",10.1002/14651858.CD000146.pub4,NA,NA,Nicotine replacement therapy for smoking cessation,Stead L.,Cochrane Database of Systematic Reviews,SCOPUS_ID:84872173821,2,Journal article,0
"Rose J, Turner J, Murugesan T, Behm F, Laugesen M. Pulmonary delivery of nicotine pyruvate: Sensory and pharmacokinetic characteristics. Experimental and Clinical Psychopharmacology. 2010;18(5):385-394.","Rose, JE et al. (2010a)",10.1037/a0020834,NA,NA,Pulmonary Delivery of Nicotine Pyruvate: Sensory and Pharmacokinetic Characteristics,Rose J.,Experimental and Clinical Psychopharmacology,SCOPUS_ID:77958129268,2,Journal article,0
"Kotz, D., J. Brown, and R. West. Prospective cohort study of the effectiveness of smoking cessation treatments used in the “real world”. in Mayo Clinic Proceedings. 2014. Elsevier.","Kotz, D et al. (2014)",10.1111/add.12429,NA,NA,NA,NA,NA,NA,2,Journal article,0
"Farsalinos KE, Poulas K, Voudris V, Le Houezec J. Electronic cigarette use in the European Union: Analysis of a representative sample of 27460 Europeans from 28 countries. Addiction. 2016;111(11):2032-40.","Farsalinos, KE et al. (2016a)",10.1111/add.13506,NA,NA,Electronic cigarette use in the European Union: analysis of a representative sample of 27 460 Europeans from 28 countries,Farsalinos K.,"Addiction (Abingdon, England)",SCOPUS_ID:84990218384,2,Journal article,0
"International Agency for Research on Cancer. Evaluation of carcinogenic risks to humans: agents. IARC Monograph. Lyon, France: IARC, 2012. http://monographs.iarc.fr/ENG/Classification/index.php [Accessed 12 November 2014].",International Agency for Research on Cancer (2012),NA,http://monographs.iarc.fr/ENG/Classification/index.php,NA,Evaluation of carcinogenic risks to humans: agents,International Agency for Research on Cancer,NA,NA,2,Journal article,0
"Pisinger, C., Research Centre for Prevention and Health , A systematic review of health effects of electronic cigarettes, unpublished report (2015)","Pisinger, C (2015)",NA,NA,NA,"Research Centre for Prevention and Health , A systematic review of health effects of electronic cigarettes, unpublished report","Pisinger, C.",NA,NA,2,Journal article,0
"Russel, M.A.H., The future of nicotine replacement. British Journal of Addiction, 1991. 86(5): p. 653-658.","Russell, MA (1991)",NA,https://www.hri.global/files/2011/07/13/Russell_-_Nicotine_Replacement.pdf,NA,The future of nicotine replacement.,"Russel, M.A.H",NA,NA,2,Journal article,0
"Etter, J.F. and C. Bullen, Saliva cotinine levels in users of electronic cigarettes. Eur Respir J, 2011. 38(5): p. 1219-20.","Etter, JF and Bullen, CB (2011a)",10.1111/add.12475,NA,NA,Levels of saliva cotinine in electronic cigarette users,Etter J.,Addiction,SCOPUS_ID:84898024235,2,Journal article,0
"Stead, L.F. and T. Lancaster, Behavioural interventions as adjuncts to pharmacotherapy for smoking cessation. The Cochrane Library, 2012.","Stead, LF and Lancaster, T (2012)",10.1002/14651858.CD009670.pub2,NA,NA,Behavioural interventions as adjuncts to pharmacotherapy for smoking cessation,Stead L.,Cochrane Database of Systematic Reviews,SCOPUS_ID:84874182451,2,Journal article,0
"S.P., et al., Electronic cigarette use among patients with cancer: characteristics of electronic cigarette users and their smoking cessation outcomes. Cancer, 2014. 120(22): p. 3527-35.","Borderud, SP et al. (2014)",10.1002/cncr.29118,NA,NA,Erratum: Electronic cigarette use among patients with cancer: Characteristics of electronic cigarette users and their smoking cessation outcomes (Cancer (2014) 10.1002/cncr.28811),Borderud S.,Cancer,SCOPUS_ID:84923283706,2,Journal article,0
"Shawn, L. and L.S. Nelson, Smoking cessation can be toxic to your health. EMErGEnCy MEDICInE, 2013.","Shawn, L and Nelson, LS (2013)",NA,NA,NA,Smoking cessation can be toxic to your health,Shawn L.,Emergency Medicine,SCOPUS_ID:84875404941,2,Journal article,0
"Pellegrino, R., et al., Electronic cigarettes: an evaluation of exposure to chemicals and fine particulate matter (PM). Ann Ig, 2012. 24(4): p. 279-288.","Pellegrino, R et al. (2012)",NA,NA,NA,Electronic cigarettes: an evaluation of exposure to chemicals and fine particulate matter (PM).,Pellegrino R.,Annali di igiene : medicina preventiva e di comunità,SCOPUS_ID:84866780102,2,Journal article,0
"McCauley, L., C. Markin, and D. Hosmer, An unexpected consequence of electronic cigarette use. CHEST Journal, 2012. 141(4): p. 1110-1113.","McCauley, L et al. (2012)",10.1378/chest.11-1334,NA,NA,An unexpected consequence of electronic cigarette use,McCauley L.,Chest,SCOPUS_ID:84859483351,2,Journal article,0
"McNeill, A., et al., A critique of a World Health Organization‐commissioned report and associated paper on electronic cigarettes. Addiction, 2014. 109(12): p. 2128-2134.","McNeill, A et al. (2014)",10.1111/add.12730,NA,NA,A critique of a World Health Organization-commissioned report and associated paper on electronic cigarettes,Mcneill A.,Addiction,SCOPUS_ID:84920284540,2,Journal article,0
Slotkin TA. Fetal nicotine or cocaine exposure: which one is worse? . J Pharmacol Exp Ther. 1998;285(3):931–45.,"Slotkin, TA (1998)",NA,NA,NA,Fetal nicotine or cocaine exposure: Which one is worse?,Slotkin T.,Journal of Pharmacology and Experimental Therapeutics,SCOPUS_ID:0031863354,2,Journal article,0
"Martin EM, Clapp PW, Rebuli ME, Pawlak EA, Glista-Baker E, Benowitz NL, et al. E-cigarette use results in suppression of immune and inflammatory-response genes in nasal epithelial cells similar to cigarette smoke. Am J Physiol-Lung C. 2016;311(1):L135-L44.","Martin, EM et al. (2016)",10.1152/ajplung.00170.2016,NA,NA,E-cigarette use results in suppression of immune and inflammatory-response genes in nasal epithelial cells similar to cigarette smoke,Martin E.,American Journal of Physiology - Lung Cellular and Molecular Physiology,SCOPUS_ID:84984633312,2,Journal article,0
"Tackett AP, Lechner WV, Meier E, Grant DM, Driskill LM, Tahirkheli NN, et al. Biochemically verified smoking cessation and vaping beliefs among vape store customers. Addiction. 2015;110(5):868-74.","Tackett, AP et al. (2015)",10.1111/add.12878,NA,NA,Biochemically verified smoking cessation and vaping beliefs among vape store customers,Tackett A.,Addiction,SCOPUS_ID:84927654819,2,Journal article,0
"Hiscock R, Bauld L, Amos A et al. Socioeconomic status and smoking: a review. Ann NY Acad Sci 2012;1248:107–23.","Hiscock, R et al. (2012)",10.1111/j.1749-6632.2011.06202.x,NA,NA,Socioeconomic status and smoking: A review,Hiscock R.,Annals of the New York Academy of Sciences,SCOPUS_ID:84856574566,2,Journal article,0
"Schraufnagel DE, Blasi F, Drummond MB et al. Electronic cigarettes: a position statement of the forum of international respiratory societies. Am J Respir Crit Care Med 2014;90:611–18.","Schraufnagel, DE et al. (2014)",10.1164/rccm.201407-1198PP,https://www.ncbi.nlm.nih.gov/pubmed/25006874,NA,Electronic cigarettes: a position statement of the forum of international respiratory societies.,"Schraufnagel DE, Blasi F, Drummond MB et al",NA,NA,2,Journal article,0
"Vardavas CI, Anagnostopoulos N, Kougias M et al. Short-term pulmonary effects of using an electronic cigarette: Impact on respiratory flow resistance, impedance, and exhaled nitric oxide. Chest 2012;141:1400–6.","Vardavas, CI et al. (2012)",10.1378/chest.11-2443,NA,NA,"Short-term pulmonary effects of using an electronic cigarette: Impact on respiratory flow resistance, impedance, and exhaled nitric oxide",Vardavas C.,Chest,SCOPUS_ID:84862006677,2,Journal article,0
"Anderson RC, Harris PN, Chen KK. Toxicological studies on synthetic glycerin. J Am Pharm Assoc 1950;39:583–5.","Anderson, RC et al. (1950)",10.1002/jps.3030391014,NA,NA,Toxicological studies on synthetic glycerin.,ANDERSON R.,Journal of the American Pharmaceutical Association. American Pharmaceutical Association,SCOPUS_ID:76549204980,2,Journal article,0
"Renne RA, Wehner AP, Greenspan BJ et al. 2-week and 13-week inhalation studies of aerosolized glycerol in rats. Inhal Toxicol 1992;4:95–111.","Renne, RA et al. (1992)",10.3109/08958379209145307,NA,NA,2-week and 13-week inhalation studies of aerosolized glycerol in rats,Renne R.,Inhalation Toxicology,SCOPUS_ID:0005993999,2,Journal article,0
"Cummings KM, Morley CP, Horan JK, Steger C, Leavell NR. Marketing to America’s youth: evidence from corporate documents. Tob Control 2002;11(Suppl 1):i5–17.","Cummings, KM et al. (2002)",NA,NA,NA,Marketing to America's youth: Evidence from corporate documents,Cummings K.,Tobacco Control,SCOPUS_ID:11244346735,2,Journal article,0
"American Academy of Pediatrics (2015) Public Policy to Protect Children from Tobacco, Nicotine and Tobacco Smoke: Policy Statement. Pediatrics, 136 (5).",American Academy of Pediatrics (2015),10.1542/peds.2015-3109,https://pediatrics.aappublications.org/content/136/5/998,NA,"Public Policy to Protect Children from Tobacco, Nicotine and Tobacco Smoke: Policy Statement",American Academy of Pediatrics,NA,NA,2,Journal article,0
"Czoli, C.D., D. Hammond, and C.M. White, Electronic cigarettes in Canada: Prevalence of use and perceptions among youth and young adults. Can J Public Health, 2014. 105(2): p. e97-e102.","Czoli, CD et al. (2014)",NA,NA,NA,Electronic cigarettes in Canada: Prevalence of use and perceptions among youth and young adults,Czoli C.,Canadian Journal of Public Health,SCOPUS_ID:84901682934,2,Journal article,0
"Bohr S, Almarzouqi F, Pallua N. Extensive burn injury caused by fundamental electronic cigarette design flaw. Ann Burns Fire Disasters. 2016;29(3):231-3.","Bohr, S et al. (2016)",NA,NA,NA,Extensive burn injury caused by fundamental electronic cigarette design flaw,Bohr S.,Annals of Burns and Fire Disasters,SCOPUS_ID:84992523191,2,Journal article,0
Forrester MB. Pediatric exposures to electronic cigarettes reported to Texas poison centers. J Emerg Med. 2015;49(2):136-42.,"Forrester, MB (2015)",10.1097/PEC.0000000000001226,NA,NA,Pediatric Minoxidil Exposures Reported to Texas Poison Centers,Forrester M.,Pediatric Emergency Care,SCOPUS_ID:85048718217,1,Journal article,0
"Walsh K, Sheikh Z, Johal K, Khwaja N. Rare case of accidental fire and burns caused by e-cigarette batteries. BMJ Case Reports. 2016;2016 212868.","Walsh, K et al. (2016)",10.1136/bcr-2015-212868,NA,NA,Rare case of accidental fire and burns caused by e-cigarette batteries,Walsh K.,BMJ Case Reports,SCOPUS_ID:84962623115,1,Journal article,0
"Jarvis MJ, Feyerabend C. Recent trends in children’s exposure to second-hand smoke in England: cotinine evidence from the Health Survey for England. Addiction2015;110:1484–92.","Jarvis, MJ (2015)",10.1111/add.12962,NA,NA,Recent trends in children's exposure to second-hand smoke in England: Cotinine evidence from the Health Survey for England,Jarvis M.,Addiction,SCOPUS_ID:84938198878,1,Journal article,0
"Jarvis M, Feyerabend C. Recent trends in children’s exposure to second-hand smoke in England: cotinine evidence from the Health Survey for England. Addiction 2015;110:1484–92.","Jarvis, M and Feyerabend, C (2015)",10.1111/add.12962,NA,NA,Recent trends in children's exposure to second-hand smoke in England: Cotinine evidence from the Health Survey for England,Jarvis M.,Addiction,SCOPUS_ID:84938198878,1,Journal article,0
"Fidler JA, West R. Changes in smoking prevalence in 16–17-year-old versus older adults following a rise in legal age of sale: findings from an English population study. Addiction 2010;105:1984–88.","Fidler, JA and West, R (2010)",10.1111/j.1360-0443.2010.03039.x,NA,NA,Changes in smoking prevalence in 16-17-year-old versus older adults following a rise in legal age of sale: Findings from an english population study,Fidler J.,Addiction,SCOPUS_ID:78649583314,1,Journal article,0
"McRobbie H, Thornley S, Bullen C et al. A randomized trial of the effects of two novel nicotine replacement therapies on tobacco withdrawal symptoms and user satisfaction. Addiction 2010;105:1290–8.","McRobbie, H et al. (2010)",10.1111/j.1360-0443.2010.02950.x,NA,NA,A randomized trial of the effects of two novel nicotine replacement therapies on tobacco withdrawal symptoms and user satisfaction,McRobbie H.,Addiction,SCOPUS_ID:77953316404,1,Journal article,0
"Aveyard P, Begh R, Parsons A, West R. Brief opportunistic smoking cessation interventions: a systematic review and meta-analysis to compare advice to quit and offer of assistance. Addiction 2012;107:1066–73.","Aveyard, P et al. (2012)",10.1111/j.1360-0443.2011.03770.x,NA,NA,Brief opportunistic smoking cessation interventions: A systematic review and meta-analysis to compare advice to quit and offer of assistance,Aveyard P.,Addiction,SCOPUS_ID:84860568179,1,Journal article,0
"Beard E, West R. Use of nicotine replacement therapy for smoking reduction and temporary abstinence: an update of Beard et al. (2011). Addiction 2012;107:1186–7.","Beard, E and West, R (2012)",10.1111/j.1360-0443.2010.03215.x,NA,NA,Use of nicotine replacement therapy for smoking reduction and during enforced temporary abstinence: A national survey of English smokers,Beard E.,Addiction,SCOPUS_ID:78649984655,1,Journal article,0
"Wagener  TL,  Siegel  M,  Borrelli  B.  Electronic   ciga- rettes:  achieving  a  balanced  perspective.  Addiction 2012;107(9):1545–8.","Wagener, TL et al. (2012)",10.1111/j.1360-0443.2012.03826.x,NA,NA,Electronic cigarettes: Achieving a balanced perspective,Wagener T.,Addiction,SCOPUS_ID:84864779290,1,Journal article,0
"Brook JS, Balka EB, Ning Y, Brook DW. Trajectories of cig- arette  smoking among African Americans and Puerto Ricans from adolescence to young adulthood: associ- ations with dependence on alcohol and illegal drugs. American Journal on Addictions 2007;16(3):195–201.","Brook, JS et al. (2007)",10.1080/10550490701375244,NA,NA,Trajectories of cigarette smoking among African Americans and Puerto Ricans from adolescence to young adulthood: Associations with dependence on alcohol and illegal drugs,Brook J.,American Journal on Addictions,SCOPUS_ID:34347403409,1,Journal article,0
"Linnet KM, Dalsgaard S, Obel C, Wisborg K, Henriksen TB, Rodriguez A, Kotimaa A, Moilanen I, Thomsen PH, Olsen J, et al. Maternal lifestyle factors in pregnancy risk  of  attention   deficit  hyperactivity  disorder  and associated behaviors: review of the  current  evidence. American Journal of Psychiatry 2003;160(6):1028–40.","Linnet, KM et al. (2003)",10.1176/appi.ajp.160.6.1028,NA,NA,Maternal lifestyle factors in pregnancy risk of attention deficit hyperactivity disorder and associated behaviors: Review of the current evidence,Linnet K.,American Journal of Psychiatry,SCOPUS_ID:0038488304,1,Journal article,0
"Mark KS, Farquhar   B, Chisolm  MS, Coleman-Cowger VH, Terplan  M. Knowledge, attitudes,   and  practice of electronic  cigarette  use  among  pregnant  women. Journal of Addiction Medicine 2015;9(4):266–72.","Mark, KS et al. (2015)",10.1097/ADM.0000000000000128,NA,NA,"Knowledge, attitudes, and practice of electronic cigarette use among pregnant women",Mark K.,Journal of Addiction Medicine,SCOPUS_ID:84942905849,1,Journal article,0
"Mychasiuk R, Muhammad A, Gibb R, Kolb B. Long-term alterations  to dendritic morphology and spine density associated with prenatal exposure to nicotine. Brain Research 2013;1499:53–60.","Mychasiuk, R et al. (2013)",10.1002/syn.21737,NA,NA,Environmental enrichment alters structural plasticity of the adolescent brain but does not remediate the effects of prenatal nicotine exposure,Mychasiuk R.,Synapse,SCOPUS_ID:84900010855,1,Journal article,0
"Tjora T, Hetland J, Aaro LE, Wold B, Wiium N, Overland S.  The  association   between  smoking   and  depres- sion   from   adolescence   to   adulthood.    Addiction 2014;109(6):1022–30.","Tjora, T et al. (2014)",10.1111/add.12522,NA,NA,The association between smoking and depression from adolescence to adulthood,Tjora T.,Addiction,SCOPUS_ID:84899983117,1,Journal article,0
"Cummings, K. Michael, Andrew Hyland, Jeanne Perla and Gary A. Giovino. “Is the Prevalence of Youth Smoking Affected by Efforts to Increase Retailer Compliance with a Minors’ Access Law?” Nicotine & Tobacco Research 5(4): 465-471. 2003.","Cummings, KM et al. (2003)",10.1080/14622200307237,NA,NA,Is the prevalence of youth smoking affected by efforts to increase retailer compliance with a minors' access to law?,Cummings K.,Nicotine and Tobacco Research,SCOPUS_ID:0041823378,1,Journal article,0
"Stead LF, Lancaster T. Interventions for preventing tobacco sales to minors. Cochrane Database of Systematic Reviews 2005, Issue 1. Art. No.: CD001497. http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD001497.pub2/pdf.","Stead, LF and Lancaster, T (2005)",10.1002/14651858.CD001497.pub2,NA,NA,NA,NA,NA,NA,1,Journal article,0
"M. Famele, J. Palmisani, C. Ferranti, C. Abenavoli, L. Palleschi, R. Mancinelli, R. M. Fidente, G. de Gennaro and R. Draisci, “Liquid Chromatography with Tandem Mass Spectrometry Method for the Determination of Nicotine and Minor Tobacco Alkaloids in Electronic Cigarette Refill Liquids and Second-hand Generated Aerosol” Journal of Separation Science, vol. Dec, 2016.","Famele, M et al. (2016)",10.1002/jssc.201601076,NA,NA,Liquid chromatography with tandem mass spectrometry method for the determination of nicotine and minor tobacco alkaloids in electronic cigarette refill liquids and second-hand generated aerosol,Famele M.,Journal of Separation Science,SCOPUS_ID:85011710535,1,Journal article,0
"Gourlay SG, Benowitz NL. Arteriovenous differences in plasma concentration of nicotine and catecholamines and related cardiovascular effects after smoking, nicotine nasal spray, and intravenous nicotine. Clin Pharmacol Ther 1997;62:453–63.","Gourlay, SG and Benowitz, NL (1997)",10.1016/S0009-9236(97)90124-7,NA,NA,"Arteriovenous differences in plasma concentration of nicotine and catecholamines and related cardiovascular effects after smoking, nicotine nasal spray, and intravenous nicotine",Gourlay S.,Clinical Pharmacology and Therapeutics,SCOPUS_ID:0030723143,1,Journal article,0
"Rosenberg J, Benowitz NL, Jacob P, Wilson KM. Disposition kinetics  and effects of intravenous  nicotine.  Clinical Pharmacology and Therapeutics 1980;28(4):517–22.","Rosenberg, J et al. (1980)",10.1038/clpt.1980.196,NA,NA,Disposition kinetics and effects of intravenous nicotine,Rosenberg J.,Clinical Pharmacology &amp; Therapeutics,SCOPUS_ID:0019196607,1,Journal article,0
"Wennike P, Danielsson T, Landfeldt B, Westin A, Tønnesen P. Smoking reduction promotes smoking cessation: results from a double blind, randomized, placebo-controlled trial of nicotine gum with 2-year follow-up. Addiction 2003;98:1395–402.","Wennike, P et al. (2003)",10.1046/j.1360-0443.2003.00489.x,NA,NA,"Smoking reduction promotes smoking cessation: Results from a double blind, randomized, placebo-controlled trial of nicotine gum with 2-year follow-up",Wennike P.,Addiction,SCOPUS_ID:0142124930,1,Journal article,0
"Hall, W.D. and M. Lynskey, Is cannabis a gateway drug? Testing hypotheses about the relationship between cannabis use and the use of other illicit drugs. Drug and alcohol review, 2005. 24(1): p. 39-48.","Hall, WD and Lynskey, M (2005)",10.1080/09595230500126698,NA,NA,Is cannabis a gateway drug? Testing hypotheses about the relationship between cannabis use and the use of other illicit drugs,Hall W.,Drug and Alcohol Review,SCOPUS_ID:22944470171,1,Journal article,0
"Klein LC, Stine MM, Pfaff DW, Vandenbergh DJ. Maternal nicotine exposure increases nicotine preference in periadolescent  male  but  not  female C57B1/6J mice. Nicotine & Tobacco Research 2003;5(1):117–24.","Klein, LC et al. (2003)",10.1080/14622200307257,NA,NA,Maternal nicotine exposure increases nicotine preference in periadolescent male but not female C57B1/6J mice,Klein L.,Nicotine and Tobacco Research,SCOPUS_ID:0037291519,1,Journal article,0
"Jacobson  JT, Morehouse  CR. A  comparison  of auditory brain stem response and behavioral screening in high risk  and  normal  newborn  infants.  Ear and  Hearing 1984;5(4):247–53.","Jacobson, JT et al. (1984)",10.1097/00003446-198407000-00010,NA,NA,A comparison of auditory brain stem response and behavioral screening in high risk and normal newborn infants,Jacobson J.,Ear and Hearing,SCOPUS_ID:0021629662,1,Journal article,0
"Vlachopoulos C, Kosmopoulou F, Alexopoulos N, Ioakeimidis N, Siasos G, Stefanadis C. Acute mental stress has a prolonged unfavorable effect on arterial stiffness and wave reflections. Psychosom Med. 2006 68(2):231-7.","Vlachopoulos, C et al. (2006)",10.1097/01.psy.0000203171.33348.72,NA,NA,Acute mental stress has a prolonged unfavorable effect on arterial stiffness and wave reflections,Vlachopoulos C.,Psychosomatic Medicine,SCOPUS_ID:33646696169,1,Journal article,0
"Chaisson NF, Kreiss K, Hnizdo E, Hakobyan A, Enright PL. Evaluation of methods to determine  excessive decline of forced expiratory volume in one second in workers exposed to diacetyl-containing flavorings. Journal of Occupational and Environmental  Medicine 2010;52(11):1119–23.","Chaisson, NF et al. (2010)",10.1097/JOM.0b013e3181f84577,NA,NA,Evaluation of methods to determine excessive decline of forced expiratory volume in one second in workers exposed to diacetyl-containing flavorings,Chaisson N.,Journal of Occupational and Environmental Medicine,SCOPUS_ID:78649685205,1,Journal article,0
"Hajek P et al. Electronic cigarettes: review of use, content, safety, effects on smokers and potential for harm and benefit. Addiction 2014; doi: 10.111/add.12659","Hajek, P et al. (2014b)",10.111/add.12659,NA,NA,NA,NA,NA,NA,1,Journal article,0
"Hartmann-Boyce J, Stead LF, Cahill K, Lancaster T. Efficacy of interventions to combat tobacco addiction: Cochrane update of 2012 reviews. Addiction 2013;108:1711–21.","Hartmann-Boyce, J et al. (2013)",10.1111/add.12291,NA,NA,Efficacy of interventions to combat tobacco addiction: Cochrane update of 2012 reviews,Hartmann-Boyce J.,Addiction,SCOPUS_ID:84884209289,1,Journal article,0
"Hartmann-Boyce J, Stead LF, Cahill K, Lancaster T. Efficacy of interventions to combat tobacco addiction: Cochrane update of 2013 reviews. Addiction 2014;109: 1414–25.","Hartmann-Boyce, J et al. (2014)",10.1111/add.12633,NA,NA,Efficacy of interventions to combat tobacco addiction: Cochrane update of 2013 reviews,Hartmann-Boyce J.,Addiction,SCOPUS_ID:84922532907,1,Journal article,0
