Reference,nrefs,Full Reference
"Bullen, CB et al. (2013)",4,"Bullen CB, Howe C, Laugesen M, McRobbie H, Parag V, Williman J et al. Electronic cigarettes for smoking cessation: a randomised controlled trial. Lancet. 2013;382(9905):1629–37."
"Brown, J et al. (2014a)",3,"Brown J, Beard E, Kotz D, Michie S, West R. Real-world effectiveness of e-cigarettes when used to aid smoking cessation: a cross-sectional population study. Addiction. Published online, 20 May 2014. doi:10.1111/add.12623."
"Fiore, MC et al. (2014)",2,"Fiore MC, Schroeder SA, Baker TB. Smoke, the chief killer – strategies for targeting combustible tobacco use. New England Journal of Medicine. 2014;370(4):297–9. doi: 10.1056/NEJMp1314942."
"Corey, C et al. (2013)",1,"Calculations based on Centers for Disease Control and Prevention reported data from the United States National Youth Tobacco Survey, contained in: Corey C, Wang B, Johnson SE, Apelberg B, Husten C, King BA et al. Notes from the field: electronic cigarette use among middle and high school students – United States, 2011–2012. Morbidity and Mortality Weekly Report;62(35):729–30."
"Lee, S et al. (2013)",3,"Lee S, Grana RA, Glantz SA, Electronic cigarette use among Korean adolescents: a cross-sectional study of market penetration, dual use, and relationship to quit attempts and former smoking. Journal of Adolescent Health. Published online, 22 November 2013. doi: http://dx.doi.org/10.1016/j.jadohealth.2013.11.003."
"Goniewicz, ML and Zielinska-Danch, W (2012)",1,"Lukasz Goniewicz M, Zielinska-Danch W. Electronic cigarette use among teenagers and young adults in Poland. Pediatrics. Published online, 17 September 2012. doi:10.1542/peds.2011-3448."
"Sutfin, EL et al. (2013)",2,"Sutfina EL, McCoy TP, Morrell HER, Hoeppner BB, Wolfson M. Electronic cigarette use by college students. Drug and Alcohol Dependence. 2013;131(3):214–221. http://dx.doi.org/10.1016/j.drugalcdep.2013.05.001."
Action on Smoking and Health (2014),1,"Action on Smoking and Health, UK fact sheet. Use of electronic cigarettes in Great Britain. April 2014. Available from: http://www.ash.org.uk/files/documents/ASH_891.pdf."
"West, R et al. (2014a)",2,"West R, Brown J, Beard E. Smoking toolkit study. Trends in electronic cigarette use in England. Updated 4th April 2014. Available from: http://www.smokinginengland.info/latest-statistics/."
"de Andrade, M et al. (2013a)",1,"de Andrade M, Hastings G, Angus K, Dixon D, Purves R. The marketing of electronic cigarettes in the UK. London: Cancer Research UK; November 2013."
"Peeters, S and Gilmore, AB (2014)",1,"Peeters S, Gilmore AB. Understanding the emergence of the tobacco industry’s use of the term tobacco harm reduction in order to inform public health policy. Tobacco Control. Published online, 22 January 2014. doi:10.1136/tobaccocontrol-2013-051502."
"Mejia, AB and Ling, PM (2010)",1,"Mejia AB, Ling PM. Tobacco industry consumer research on smokeless tobacco users and product development. American Journal of Public Health. 2010;100(1):78–87. doi: 10.2105/AJPH.2008.152603."
US Department of Health and Human Services (2012),3,Preventing tobacco use among youth and young adults. A report of the Surgeon General. Rockville (MD); US Department of Health and Human Services: 2012.
"Fernandez, E et al. (2016)",1,"Fernandez, E., et al , Institut Català d’Oncologia, Exposure to Aerosols from Smoking-proxy Electronic Inhaling Systems: a Systematic Review, unpublished report, (2016) Fernandez"
"El Dib, R et al. (2017)",3,"El Dib, R., et al, Electronic nicotine delivery systems and/or electronic non-nicotine delivery systems for tobacco smoking cessation or reduction: A systematic review and meta-analysis, unpublished report (2016)"
"Pisinger, C (2015)",1,"Pisinger, C., Research Centre for Prevention and Health , A systematic review of health effects of electronic cigarettes, unpublished report (2015)"
"Yoong, S et al. (2016)",1,"Yoong, et. Al., Prevalence of Smoking-proxy Electronic Inhaling Systems (SEIS) use and its association with tobacco initiation in youth, unpublished report (2016)"
Euromonitor (2015),1,Based on Euromonitor’s 2015 data
"Mickle, T (2016)",1,Mickle T. E-Cigarette Sales Rapidly Lose Steam [Internet]. WSJ. 2016 [cited 2 June 2016]. Available from: http://www.wsj.com/articles/e-cig-sales-rapidly-lose-steam-1447798921
Japan Tobacco International (2015),1,"Japan Tobacco International. JTI acquires “Ploom” Intellectual Property Rights from Ploom, Inc. [Internet]. Jti.com. 2015 [cited 2 June 2016]. Available from: http://www.jti.com/media/news-releases/jti-acquires-ploom-intellectual-property-rights- ploom-inc/"
Philip Morris International (2016a),1,Philip Morris International. A New Era Begins in Japan: Revolutionary Tobacco Heating Technology ‘iQOS’ to be Rolled Out Nationwide [Internet]. 2015 [cited 2 June 2016]. Available from: http://www.pmi.com/ja_jp/media_center/press_releases/Documents/20150818iQOS_E.pdf
"Spencer, B (2016)",1,Spencer B. The iFuse 'hybrid' cigarette combines e-cig technology with tobacco [Internet]. Mail Online. 2015 [cited 3 June 2016]. Available from: http://www.dailymail.co.uk/sciencetech/article-3330238/The-iFuse-hybrid-cigarette-combines-e-cig- technology-tobacco-improve-flavour-vapour.html
"Moyses, C et al. (2014a)",1,"Moyses C, Hearn A, Redfern A. Evaluation of a Novel Nicotine Inhaler Device: Part 1--Arterial and Venous Pharmacokinetics. Nicotine & Tobacco Research. 2014;17(1):18-25."
"Moyses, C et al. (2014b)",1,"Moyses C, Hearn A, Redfern A. Evaluation of a Novel Nicotine Inhaler Device: Part 2--Effect on Craving and Smoking Urges. Nicotine & Tobacco Research. 2014;17(1):26-33."
"Rose, JE et al. (2010a)",1,"Rose J, Turner J, Murugesan T, Behm F, Laugesen M. Pulmonary delivery of nicotine pyruvate: Sensory and pharmacokinetic characteristics. Experimental and Clinical Psychopharmacology. 2010;18(5):385-394."
"Visser, W et al. (2015)",2,"Visser W, Geraets L, Klerx W, Hernandez L, Stephens E, Croes E et al. The health risks of using e-cigarettes. [Internet]. Bilthoven The Netherlands: National Institute for Public Health and the Environment; 2015. Available from: http://www.rivm.nl/bibliotheek/rapporten/2015-0144.pdf"
"Kutlu, MG and Gould, TJ (2015)",1,Kutlu MGould T. Nicotine modulation of fear memories and anxiety: Implications for learning and anxiety disorders. Biochemical Pharmacology. 2015;97(4):498-511.
"Yuan, M et al. (2015)",2,"Yuan M, Cross S, Loughlin S, Leslie F. Nicotine and the adolescent brain. J Physiol. 2015;593(16):3397-3412."
"Hall, F et al. (2015)",1,"Hall F, Der-Avakian A, Gould T, Markou A, Shoaib M, Young J. Negative affective states and cognitive impairments in nicotine dependence. Neuroscience & Biobehavioral Reviews. 2015;58:168-185."
"Barrington-Trimis, JL et al. (2014)",2,"Barrington-Trimis J, Samet J, McConnell R. Flavorings in Electronic Cigarettes. JAMA. 2014;312(23):2493."
"Kreiss, K et al. (2002)",3,"Kreiss K, Gomaa A, Kullman G, Fedan K, Simoes E, Enright P. Clinical Bronchiolitis Obliterans in Workers at a Microwave-Popcorn Plant. New England Journal of Medicine. 2002;347(5):330-338."
"Harber, P et al. (2006)",3,"Harber P, Saechao K, Boomus C. Diacetyl-Induced Lung Disease. Toxicological Reviews. 2006;25(4):261-272."
"Behar, R et al. (2014)",3,"Behar R, Davis B, Wang Y, Bahl V, Lin S, Talbot P. Identification of toxicants in cinnamon-flavored electronic cigarette refill fluids. Toxicology in Vitro. 2014;28(2):198-208."
"van Assendelft, AH (1987)",1,van Assendelft A. Adverse drug reactions checklist. BMJ. 1987;294(6571):576-577.
"Saint, DM (1997)",1,"Saint DM, Vanillin-triggered migraine. Food and Chemical Toxicology. 1997;35(5):527-528."
"Tierney, PA et al. (2015)",1,"Tierney P, Karpinski C, Brown J, Luo W, Pankow J. Flavour chemicals in electronic cigarette fluids. Tobacco Control. 2015;25(e1):e10-e15."
"Lerner, CA et al. (2015a)",2,"Lerner C, Sundar I, Yao H, Gerloff J, Ossip D, McIntosh S et al. Vapors Produced by Electronic Cigarettes and E-Juices with Flavorings Induce Toxicity, Oxidative Stress, and Inflammatory Response in Lung Epithelial Cells and in Mouse Lung. PLOS ONE. 2015;10(2):e0116732."
"Cervellati, F et al. (2014)",1,"Cervellati F, Muresan X, Sticozzi C, Gambari R, Montagner G, Forman H et al. Comparative effects between electronic and cigarette smoke in human keratinocytes and epithelial lung cells. Toxicology in Vitro. 2014;28(5):999-1005."
"Wu, Q et al. (2014)",1,"Wu Q, Jiang D, Minor M, Chu H. Electronic Cigarette Liquid Increases Inflammation and Virus Infection in Primary Human Airway Epithelial Cells. PLoS ONE. 2014;9(9):e108342."
"Britton, J et al. (2016)",1,"Britton J, Arnott D, McNeill A, Hopkinson N. Nicotine without smoke—putting electronic cigarettes in context. BMJ. 2016;:i1745."
Public Health England (2015a),1,Public Health England. E-cigarettes: a new foundation for evidence-based policy and practice [Internet]. Public Health England. 2015 [cited 22 June 2016]. Available from: https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/454517/Ecigarettes_a_firm_foundation_for_ev idence_based_policy_and_practice.pdf
"McNeill, A et al. (2015a)",6,"McNeill A, Brose L, Calder R, Hitchman S, Hajek P, McRobbie H. E-cigarettes: an evidence update A report commissioned by Public Health England [Internet]. Public Health England. 2015 [cited 22 June 2016]. Available from: https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/457102/Ecigarettes_an_evidence_update_A_r eport_commissioned_by_Public_Health_England_FINAL.pdf"
"McNeill, A et al. (2015b)",1,"McNeill A, Brose L, Calder R, Hitchman S, Hajek P, McRobbie H. Underpinning evidence for the estimate that e-cigarette use is around 95% safer than smoking: authors’ note [Internet]. Public Health England. 2015 [cited 22 June 2016]. Available from: https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/456704/McNeill- Hajek_report_authors_note_on_evidence_for_95_estimate.pdf"
"Levy, DT et al. (2016a)",1,"Levy D, Borland R, Villanti A, Niaura R, Yuan Z, Zhang Y et al. The Application of a Decision-Theoretic Model to Estimate the Public Health Impact of Vaporized Nicotine Product Initiation in the United States. Nicotine & Tobacco Research. 2016;:ntw158."
"Kalkhoran, S and Glantz, SA (2015)",2,Kalkhoran SGlantz S. Modeling the Health Effects of Expanding e-Cigarette Sales in the United States and United Kingdom. JAMA Internal Medicine. 2015;175(10):1671.
"Combes, RD and Balls, M (2015)",1,"Combes RD, Balls M. On the safety of e-cigarettes: 'I can resist anything except temptation'. Alternatives to Laboratory Animals.  2015;43(6):417-425.015;43(6):417-425."
British American Tobacco (2015),1,British American Tobacco. A new framework for assessing Potentially Reduced Risk Tobacco and Nicotine products [Internet]. Bat-science.com. 2015 [cited 19 July 2016]. Available from: http://www.bat- science.com/groupms/sites/BAT_9GVJXS.nsf/vwPagesWebLive/DOA3XF63?opendocument#
Philip Morris International (2016b),1,Philip Morris International. Reduced-Risk Product Development [Internet]. Pmi.com. [cited 19 July 2016]. Available from: http://www.pmi.com/eng/research_and_development/Pages/reduced_risk_product_development.aspx#
"Hess, IM et al. (2016)",3,"Hess I, Lachireddy K, Capon A. A systematic review of the health risks from passive exposure to electronic cigarette vapour. Public Health Research & Practice. 2016;26(2)."
"Bertholon, J et al. (2013)",1,"Bertholon J, Becquemin M, Roy M, Roy F, Ledur D, Annesi Maesano I et al. Comparaison de l’aérosol de la cigarette électronique à celui des cigarettes ordinaires et de la chicha. Revue des Maladies Respiratoires. 2013;30(9):752-757."
"Ballbè, M et al. (2014)",2,"Ballbè M, Martínez-Sánchez JM, Sureda X, Fu M, Pérez-Ortuño R, Pascual JA, et al. Cigarettes vs. e-cigarettes: Passive exposure at home measured by means of airborne marker and biomarkers. Environ Res. 2014;135:76–80."
"Long, GA (2014)",2,Long GA. Comparison of select analytes in exhaled aerosol from e-cigarettes with exhaled smoke from a conventional cigarette and exhaled breaths. Int J Environ Res Public Health. 2014;11:11177–91.
"Ruprecht, AA (2014)",1,"Ruprecht AA, De Marco C, Pozzi P, Munarini E, Mazza R, Angellotti G, et al. Comparison between particulate matter and ultrafine particle emission by electronic and normal cigarettes in real-life conditions. Tumori. 2014;100:24–7."
"Saffari, A et al. (2014)",2,"Saffari A, Daher N, Ruprecht A, De Marco C, Pozzi P, Boffi R, et al. Particulate metals and organic compounds from electronic and tobacco-containing cigarettes: comparison of emission rates and secondhand exposure. Environ Sci Process Impacts. 2014;16:2259–67."
"Marco, E and Grimalt, J (2015)",1,"Marco E, Grimalt JO. A rapid method for the chromatographic analysis of volatile organic compounds in exhaled breath of tobacco cigarette and electronic cigarette smokers. J Chromatogr A. 2015;1410:51–9."
"O'Connell, G et al. (2015a)",2,"O’Connell G, Colard S, Cahours X, Pritchard J. An Assessment of Indoor Air Quality before, during and after Unrestricted Use of E-Cigarettes in a Small Room. Int J Environ Res Public Health. 2015;12:4889–907."
"Vargas Trassierra, C et al. (2015)",1,"Vargas Trassierra C, Cardellini F, Buonanno G, De Felice P. On the interaction between radon progeny and particles generated by electronic and traditional cigarettes. Atmos Environ. 2015;106:442–50."
The Royal College of Physicians (2016),4,Royal College of Physicians. Nicotine without smoke: Tobacco harm reduction [Internet]. Rcplondon.ac.uk. 2016 [cited 31 July 2016]. Available from: https://www.rcplondon.ac.uk/file/3563/download?token=uV0R0Twz
Public Health England (2016a),1,"Public Health England. Use of e-cigarettes in public places and workplaces. London, England: Public Health England; 2016."
"Unger, J (2015)",1,Unger J. E-Cigarettes: Introducing New Complexities and Controversies to the Field of Nicotine and Tobacco Research. Nicotine & Tobacco Research. 2015;17(10):1185-1186.
"McRobbie, H et al. (2014a)",4,"McRobbie H, Bullen C, Hartmann-Boyce J, Hajek P. Electronic cigarettes for smoking cessation and reduction. Cochrane Database of Systematic Reviews. 2014."
GRADE Working Group (2004),1,GRADE Working Group. Grading quality of evidence and strength of recommendations. BMJ. 2004;328(7454):1490-0. 61
"Kalkhoran, S and Glantz, SA (2016)",4,"Kalkhoran S, Glantz S. E-cigarettes and smoking cessation in real-world and clinical settings: a systematic review and meta-analysis. The Lancet Respiratory Medicine. 2016;4(2):116-128."
"Biener, L and Hargraves, J (2015)",4,"Biener L, Hargraves J. A Longitudinal Study of Electronic Cigarette Use Among a Population-Based Sample of Adult Smokers: Association With Smoking Cessation and Motivation to Quit. Nicotine & Tobacco Research. 2014;17(2):127-133."
"Brose, LS et al. (2015a)",3,"Brose L, Hitchman S, Brown J, West R, McNeill A. Is the use of electronic cigarettes while smoking associated withsmoking cessation attempts, cessation and reduced cigarette consumption? A survey with a 1-year follow-up. Addiction. 2015;110(7):1160-1168."
"Leventhal, AM et al. (2015)",5,"Leventhal A, Strong D, Kirkpatrick M, Unger J, Sussman S, Riggs N et al. Association of Electronic Cigarette Use With Initiation of Combustible Tobacco Product Smoking in Early Adolescence. JAMA. 2015;314(7):700."
"Primack, BA et al. (2015)",2,"Primack B, Soneji S, Stoolmiller M, Fine M, Sargent J. Progression to Traditional Cigarette Smoking After Electronic Cigarette Use Among US Adolescents and Young Adults. JAMA Pediatrics. 2015;169(11):1018."
"Wills, TA et al. (2016a)",3,"Wills T, Knight R, Sargent J, Gibbons F, Pagano I, Williams R. Longitudinal study of e-cigarette use and onset of cigarette smoking among high school students in Hawaii. Tobacco Control. 2016;:tobaccocontrol-2015-052705. Pediatrics. 2016;."
"Barrington-Trimis, JL et al. (2016a)",4,"Barrington-Trimis J, Urman R, Berhane K, Unger J, Cruz T, Pentz M et al. E-Cigarettes and Future Cigarette Use.
Pediatrics. 2016;.
"
"Cantrell, J et al. (2015)",1,"Cantrell J, Emelle B, Ganz O, Hair E, Vallone D. Rapid increase in e-cigarette advertising spending as Altria's MarkTen enters the marketplace. Tobacco Control. 2015;25(e1):e16-e18."
"Kornfield, R et al. (2015)",2,"Kornfield R, Huang J, Vera L, Emery S. Rapidly increasing promotional expenditures for e-cigarettes. Tobacco Control. 2014;24(2):110-111."
"Ganz, O et al. (2015)",2,"Ganz O, Cantrell J, Moon-Howard J, Aidala A, Kirchner T, Vallone D. Electronic cigarette advertising at the point-of-sale: a gap in tobacco control research. Tobacco Control. 2014;24(e1):e110-e112."
"Huang, J et al. (2014a)",2,"Huang J, Kornfield R, Szczypka G, Emery S. A cross-sectional examination of marketing of electronic cigarettes on Twitter. Tobacco Control. 2014;23(suppl 3):iii26-iii30."
"Seidenberg, A et al. (2015)",1,"Seidenberg A, Jo C, Ribisl K. Differences in the design and sale of e-cigarettes by cigarette manufacturers and non- cigarette manufacturers in the USA: Table 1. Tobacco Control. 2015;25(e1):e3-e5."
"Grana, R and Ling, PM (2014)",2,"Grana R, Ling P. “Smoking Revolution”. American Journal of Preventive Medicine. 2014;46(4):395-403."
"Richardson, A et al. (2014a)",2,"Richardson A, Ganz O, Vallone D. Tobacco on the web: surveillance and characterisation of online tobacco and e-cigarette advertising. Tobacco Control. 2014;24(4):341-347."
"Cobb, NK et al. (2013)",2,"Cobb N, Brookover J, Cobb C. Forensic analysis of online marketing for electronic nicotine delivery systems. Tobacco Control. 2013;24(2):128-131."
"Singh, T et al. (2016a)",2,"Singh T, Marynak K, Arrazola R, Cox S, Rolle I, King B. Vital Signs : Exposure to Electronic Cigarette Advertising Among Middle School and High School Students — United States, 2014. MMWR Morbidity and Mortality Weekly Report. 2016;64(52):1403-1408."
"Ramamurthi, D et al. (2015)",1,"Ramamurthi D, Fadadu R, Jackler R. Electronic cigarette marketers manipulate antitobacco advertisements to promote vaping. Tobacco Control. 2015;:tobaccocontrol-2015-052661."
"Rooke, C and Amos, A (2013)",1,Rooke CAmos A. News media representations of electronic cigarettes: an analysis of newspaper coverage in the UK and Scotland: Table 1. Tobacco Control. 2013;23(6):507-512.
"de Andrade, M et al. (2013b)",2,"de Andrade M, Hastings G, Angus K. Promotion of electronic cigarettes: tobacco marketing reinvented?. BMJ. 2013;347(dec20 1):f7473-f7473."
National Institute for Health and Care Excellence (2013a),1,National Institute for Health and Care Excellence. Smoking: harm reduction | 3-Considerations | Guidance and guidelines | NICE [Internet]. Nice.org.uk. 2013 [cited 20 July 2016]. Available from: https://www.nice.org.uk/guidance/ph45/chapter/3- Considerations
Advertising Standards Authority (2015),1,Advertising Standards Authority. Ruling on Mirage Cigarettes Ltd - Advertising Standards Authority [Internet]. Asa.org.uk. 2015 [cited 20 July 2016]. Available from: https://www.asa.org.uk/Rulings/Adjudications/2015/4/Mirage- Cigarettes-Ltd/SHP_ADJ_292291.aspx#.V4-DZrjhDIU
"Huang, J et al. (2014b)",3,"Huang J, Tauras J, Chaloupka F. The impact of price and tobacco control policies on the demand for electronic nicotine delivery systems. Tobacco Control. 2014;23(suppl 3):iii41-iii47."
"Stoklosa, M et al. (2016)",1,"Stoklosa M, Drope J, Chaloupka F. Prices and E-Cigarette Demand: Evidence From the European Union. Nicotine & Tobacco Research. 2016;:ntw109."
"Chaloupka, FJ et al. (2015)",2,"Chaloupka F, Sweanor D, Warner K. Differential Taxes for Differential Risks — Toward Reduced Harm from Nicotine- Yielding Products. New England Journal of Medicine. 2015;373(7):594-597."
"Liber, A et al. (2015)",1,"Liber A, Drope J, Stoklosa M. Combustible cigarettes cost less to use than e-cigarettes: global evidence and tax policy implications. Tobacco Control. 2016;:tobaccocontrol-2015-052874."
"Czoli, CD et al. (2015)",1,"Czoli C, Goniewicz M, Islam T, Kotnowski K, Hammond D. Consumer preferences for electronic cigarettes: results from a discrete choice experiment. Tobacco Control. 2015;25(e1):e30-e36."
"Ford, A et al. (2016)",2,"Ford A, MacKintosh A, Bauld L, Moodie C, Hastings G. Adolescents’ responses to the promotion and flavouring of e- cigarettes. International Journal of Public Health. 2015;61(2):215-224."
"Ambrose, BK et al. (2015)",2,"Ambrose B, Day H, Rostron B, Conway K, Borek N, Hyland A et al. Flavored Tobacco Product Use Among US Youth Aged 12-17 Years, 2013-2014. JAMA. 2015;314(17):1871."
"Vasiljevic, M et al. (2015)",1,"Vasiljevic M, Petrescu D, Marteau T. Impact of advertisements promoting candy-like flavoured e-cigarettes on appeal of tobacco smoking among children: an experimental study. Tobacco Control. 2016;:tobaccocontrol-2015-052593."
Business Wire (2016),1,"Business Wire. NJOY to Discontinue Flavors, Takes Additional Steps to Prevent Underage Electronic Cigarette Use [Internet]. Reuters. 2016 [cited 10 May 2016]. Available from: http://www.reuters.com/article/idUS219183+10-Dec- 2009+BW20091210"
"Farsalinos, KE et al. (2013a)",1,"Farsalinos K, Romagna G, Tsiapras D, Kyrzopoulos S, Spyrou A, Voudris V. Impact of Flavour Variability on Electronic Cigarette Use Experience: An Internet Survey. International Journal of Environmental Research and Public Health. 2013;10(12):7272-7282."
"Burrus, T (2016)",1,Burrus T. Why Big Tobacco Loves the New FDA E-Cig Regulations [Internet]. Cato Institute. 2016 [cited 31 July 2016]. Available from: http://www.cato.org/blog/why-big-tobacco-loves-new-fda-e-cig-regulations
"Snowdon, C (2015)",1,Snowdon C. E-cigarettes and Article 20 of the Tobacco Products Directive [Internet]. Epicenter. [cited 31 July 2016]. Available from: http://www.epicenternetwork.eu/wp-content/uploads/2015/09/EPICENTER-Briefing-E-cigarettes-and- Article-20-14th-September-2015.pdf
National Institute for Health Care and Excellence (2013b),1,National Institute for Health Care and Excellence. Tobacco: harm-reduction approaches to smoking. 2013; Available from: https://www.nice.org.uk/guidance/ph45/resources/guidance-tobacco-harmreduction- approaches-to-smoking-pdf.
"Jarvis, MJ and Wardle, J (1999)",1,"Jarvis, M.J. and J. Wardle, Social patterning of individual health behaviours: the case of cigarette smoking. Social determinants of health, 1999. 2: p. 224-37."
"Russell, MA (1991)",2,"Russel, M.A.H., The future of nicotine replacement. British Journal of Addiction, 1991. 86(5): p. 653-658."
"Gray, NJ (2013)",1,"Gray, N.J., Nicotine yesterday, today, and tomorrow: A global review. Nicotine & Tobacco Research, 2013: p.  ntt171."
"Chapman, S (2014a)",1," Chapman, S., E-cigarettes: the best and the worst case scenarios for public health—an essay by Simon Chapman. BMJ, 2014. 349: p. g5512."
"Dawkins, L and Corcoran, O (2014)",2,"Dawkins, L. and O. Corcoran, Acute electronic cigarette use: nicotine delivery and subjective effects in regular users. Psychopharmacology (Berl), 2014. 231(2): p. 401-7."
"Etter, JF (2014)",1,"Etter, J.F., Levels of saliva cotinine in electronic cigarette users. Addiction, 2014. 109(5): p. 825-9."
"Etter, JF and Bullen, CB (2011)",1,"Etter, J.F. and C. Bullen, Saliva cotinine levels in users of electronic cigarettes. Eur Respir J, 2011. 38(5): p. 1219-20."
"Nutt, DJ et al. (2014)",1,"Nutt, D.J., et al., Estimating the harms of nicotine-containing products using the MCDA approach. European addiction research, 2014. 20(5): p. 218-225."
Medicines and Healthcare Products Regulatory Agency (2013a),2,"Medicines & Healthcare Products Regulatory Agency. Licensing Procedure for Electronic Cigarettes and Other Nicotine Containing Products (NCPs) as Medicines, MHRA, Editor."
EU Tobacco Directive Revision of the Tobacco Products Directive (2014),1,EU Tobacco Directive. Revision of the Tobacco Products Directive. 2014 15 April 2015]; Available from: http://ec.europa.eu/health/tobacco/products/revision/index_en.htm.
Office of National Statistics (2013),1,"Office of National Statistics. Adult Smoking Habits in Great Britain, 2013. 2014 23 July 2015]; Available from: http://www.ons.gov.uk/ons/rel/ghs/opinions-and-lifestyle-survey/adult-smoking-habits-in-great- britain--2013/stb-opn-smoking-2013.html#tab-background-notes )."
Action on Smoking and Health (2015a),1,Action on Smoking and Health. Use of electronic cigarettes (vapourisers) among adults in Great Britain. 2015 23 July 2015]; Available from: http://www.ash.org.uk/files/documents/ASH_891.pdf.
"Hitchman, S et al. (2015)",3,"Hitchman, S.C., et al., Associations Between E-Cigarette Type, Frequency of Use, and Quitting Smoking: Findings From a Longitudinal Online Panel Survey in Great Britain. Nicotine Tob Res, 2015."
Health and Social Care Information Centre (2014),1,"HSCIC. Smoking, Drinking and Drug Use among Young people in England. 2014 18 May 2015]; Available from: http://www.hscic.gov.uk/article/3743/Smoking-Drinking-and-Drug-Use-among-Young-People-in- England."
"Moore, GF et al. (2015)",1,"Moore, G., et al., Electronic-cigarette use among young people in Wales: evidence from two cross- sectional surveys. BMJ Open, 2015. 5(4): p. e007072."
"Moore, GF et al. (2014)",1,"Moore, G.F., et al., E-cigarette use and intentions to smoke among 10-11-year-old never-smokers in Wales. Tob Control, 2014: p. tobaccocontrol-2014-052011."
Information Services Division Scotland (2014),1,ISD Scotland. Scottish School's Adolescent Lifestyle and Substance Use Survey (SALSUS). 2014 18 May 2015]; Available from: http://www.isdscotland.org/Health-Topics/Public-Health/SALSUS/.
"Hughes, K et al. (2015)",1,"Hughes, K., et al., Associations between e-cigarette access and smoking and drinking behaviours in teenagers. BMC Public Health, 2015. 15(1): p. 244."
