Reference,doi,dir,title,journal,nrefs,type,conflicts
"Behar, R et al. (2014)",10.1016/j.tiv.2013.10.006,Documents/E-cigarette citation library.Data/PDF/1041087597/10.1016_j.tiv.2013.10.006-2014.pdf,Identification of toxicants in cinnamon-flavored electronic cigarette refill fluids,Toxicology in Vitro,4,Journal article,will help inform companies  and regulatory agencies about chemicals and flavors that are  hazardous Conflict of Interest  The authors have no conflict of interest to declare   Acknowledgments  This work was supported by the Tobacco Related Disease Re   search Program of California  TRDRP XT 0118   and the California  Institute of Regenerative Medicine  NE A0005A 1E   Rachel Behar  and Barbara Davis were s
"Primack, BA et al. (2015)",10.1001/jamapediatrics.2015.1742,Documents/E-cigarette citation library.Data/PDF/3961865312/10.1001_jamapediatrics.2015.1742-2015.pdf,Progression to traditional cigarette smoking after electronic cigarette use among us adolescents and young adults,JAMA Pediatrics,4,Journal article,"  intellectual content  All authors   Statistical analysis  Primack  Soneji  Stoolmiller   Obtained funding  Stoolmiller  Sargent   Administrative  technical  or material support   Primack  Soneji  Sargent   Study supervision  Fine  Sargent   Conflict of Interest Disclosures  None reported   Funding Support  This study was supported by  grant R01 CA077026 for the survey from the  National Cancer Institut
National Center for  Advancing Translational Sciences  Dr Soneji    Role of the Funder Sponsor  The funding  organizations had no role in the design and conduct  of the study  collection  management  analysis  and  interpretation of the data  preparation  review  or  approval of the manuscript  and decision to submit  the manuscript for publication   REFERENCES  1  Walton KM  Abrams DB  Bailey WC  et al "
"Lee, S et al. (2013)",10.1016/j.jadohealth.2013.11.003,Documents/E-cigarette citation library.Data/PDF/2643507407/10.1016_j.jadohealth.2013.11.003-2014.pdf,NA,NA,4,Journal article,"rrent address  National Evidence Based Healthcare Collaborating Agency   Seoul  Republic of Korea   Conflicts of Interest  The authors have no conflicts of interest or financial dis   closures to report     Address correspondence to  Stanton A  Glantz  Ph D   Center for Tobacco  Control Research and Education  University of California San Francisco  530  Parnassus Avenue  Suite 366  San Francisco  CA 9414
  nicotine and by reducing the odds that an adolescent will stop  smoking conventional cigarettes   Funding Sources  This research was funded in part by the National Cancer Insti   tute  by United States National Institutes of Health Grant CA 113710   by University of California Tobacco Related Diseases Research Pro   gram Grant 21FT 0040  and by the Hellmann Family Fund  The  sponsors had no role in stu"
"Grana, R et al. (2014a)",10.1161/CIRCULATIONAHA.114.008545,Documents/E-cigarette citation library.Data/PDF/2504579638/10.1161_CIRCULATIONAHA.114.008545-2014.pdf,NA,NA,4,Journal article,"n and   radio  as cigarette advertising  and the   use of flavors should be prohibited   Sources of Funding   Dr Grana is supported in part by grant 21FT   0040 from the California Tobacco Related   Disease Research Program  Dr Ling is sup   ported in part by grant CA141661 from the   National Cancer Institute  Drs Benowitz   and Glantz are supported in part by grant   1P50CA180890 from the US National  
 a paid expert witness in litigation against   the tobacco companies  The other authors   report no conflicts   References   1  Grana R  Benowitz N  Glantz SA    E cigarettes  a scientific review  Circulation    2014 129 1972â  1986    2  Vardavas CI  Anagnostopoulos N  Kougias M    Evangelopoulou V  Connolly GN  Behrakis   PK  Short term pulmonary effects of using   an electronic cigarette  impact on res"
"Williams, M et al. (2013)",10.1371/journal.pone.0057987,Documents/E-cigarette citation library.Data/PDF/2476106573/10.1371_journal.pone.0057987-2013.pdf,NA,NA,4,Journal article,"istribution  and reproduction in any medium  provided the original author and source are credited   Funding  This work was supported by grants from the Tobacco Related Disease Research Program  TRDRP  to PT  a Cornelius Hopper Award to MW  a MARC  National Institutes of Health  NIH  fellowship to AV  and a TRDRP Postdoctoral Fellowship to SL  The funders had no role in study design  data collection and  
ysis  decision to publish  or preparation of the manuscript   Competing Interests  The authors have declared that no competing interests exist     E mail  talbot ucr edu  Introduction  Electronic cigarettes  EC  are generally manufactured in China  and are rapidly gaining acceptance in many countries  1 2   In the  United States  EC are available on the Internet  in malls  and in  local shops  They have"
"Caponnetto, P et al. (2013a)",10.1371/journal.pone.0066317,Documents/E-cigarette citation library.Data/PDF/3421057661/10.1371_journal.pone.0066317-2013.pdf,EffiCiency and Safety of an eLectronic cigAreTte (ECLAT) as Tobacco Cigarettes Substitute: A Prospective 12-Month Randomized Control Design Study,PLoS ONE,4,Journal article,"istribution  and reproduction in any medium  provided the original author and source are credited   Funding  This research was supported by a grant in aid from Lega Italiana AntiFumo  The study sponsor had no involvement in the study design  collection   analysis  and interpretation of data  the writing of the manuscript or the decision to submit the manuscript for publication  RP and PC are currently fu
mit the manuscript for publication   Competing Interests  RP has received lecture fees and research funding from Pfizer and GlaxoSmithKline  manufacturers of stop smoking medications  He has  served as a consultant for Pfizer and Arbi Group Srl  the distributor of the CategoriaTM e Cigarette  The other authors have no relevant conflict of interest to  declare in relation to this work  This does not alter"
"Flouris, AD et al. (2013)",10.3109/08958378.2012.758197,Documents/E-cigarette citation library.Data/PDF/0631657518/10.3109_08958378.2012.758197-2013.pdf,NA,NA,4,Journal article,"zed repeated measures controlled study was  conducted according to the principles expressed in the  Declaration of Helsinki and was approved by the University  of Thessaly Ethics Review Board  All volunteers provided  written informed consent   Participants  Two groups of adult volunteers participated  15 smokers   15  cigarettes day  eight males  seven females  23 5â  54 years   155â  197 cm  52â  112 
at provide information about e cigarettes  and or sell them  Eligible participants were people who  declared that they were previous tobacco cigarette users and  were currently using e cigarettes and who could also provide  the brand names of both the tobacco cigarette and the  e cigarette that they used most often  Participants were asked  to respond to five survey questions  â  â  1  On average  how  
afted the manuscript  all authors  revised the manuscript and read and approved its final version   Declaration of interest  This study did not receive funding from external sources  The salary of  ADF is paid by the Centre for Research and Technology Thessaly  He  has served as an expert consultant for the World Health Organization  regarding electronic nicotine delivery systems  All authors  except AW"
"Bahl, V et al. (2012)",10.1016/j.reprotox.2012.08.001,Documents/E-cigarette citation library.Data/PDF/2025935905/10.1016_j.reprotox.2012.08.001-2012.pdf,Comparison of electronic cigarette refill fluid cytotoxicity using embryonic and adult models,Reproductive Toxicology,4,Journal article," to pol   cy makers involved in health and environmental issues relating to  C regulation   unding  Funding was provided by the California Tobacco Related Disease  esearch Program  XT 0118   the California Institute for Regen   rative Medicine  NE A0005A IE   the UCR Academic Senate  the  CR Graduate Division  Deanâ  s Fellowship to V B    a STEM Path   ay Project award to Barbara Davis  and a TRDRP Post
doctoral  ellowship  20FT 0084  to S L onflict of interest  None declared         ology 34  2012  529â   537  Acknowledgements  We  are grateful to Dr  Evan Snyder  Stanford Burnham Medical  Institute  San Diego  CA  for providing the mNSC  We also thank  Monique Williams  R  Talbot  Kamlesh Asotra  and Rachel Behar for  their comments on the manuscript  Laurie Graham "
"Saffari, A et al. (2014)",10.1039/c4em00415a,Documents/E-cigarette citation library.Data/PDF/0385179366/10.1039_c4em00415a-2014.pdf,Particulate metals and organic compounds from electronic and tobacco-containing cigarettes: Comparison of emission rates and secondhand exposure,Environmental Sciences: Processes and Impacts,4,Journal article,
"Biener, L and Hargraves, J (2015)",10.1093/ntr/ntu200,Documents/E-cigarette citation library.Data/PDF/3001742172/10.1093_ntr_ntu200-2015.pdf,A longitudinal study of electronic cigarette use among a population-based sample of adult smokers: Association with smoking cessation and motivation to quit,Nicotine and Tobacco Research,4,Journal article,ette design and instructions for use to maximize effective   ness as a tool for smoking cessation   Funding  This work was supported by a grant from the US National Cancer Institute    grant  R01CA151384 03   Declaration of Interests  None declared   Acknowledgments  The authors are grateful for the essential contributions of the following staff   members at the Center for Survey Research  A Â Roman  who
"Hitchman, S et al. (2015)",10.1093/ntr/ntv078,Documents/E-cigarette citation library.Data/PDF/0297518030/10.1093_ntr_ntv078-2015.pdf,"Associations between E-Cigarette type, frequency of use, and quitting smoking: Findings from a longitudinal online panel survey in Great Britain",Nicotine and Tobacco Research,4,Journal article,"fluences  eg  norms   bio behav   ioral feedback  and or marketing  including promotion and price   Funding  All authors are members of the UK Centre for Tobacco   Alcohol Studies    a UK Clinical Research Collaboration Public Health Research  Centre of   TableÂ 3  E cigarette Use  Product Type  and Quit Smoking at Follow up  NÂ  Â 1643a  Variable N   Quit smoking ORb LCI UCI P  Baseline   Gender    Male
ble   1193Nicotine   Tobacco Research  2015  Vol  17  No  10  Excellence whose work is supported by funding from the Medical Research   Council  British Heart Foundation  Cancer Research UK  Economic and Social   Research Council  and the National Institute for Health Research under the   auspices of the UK Clinical Research Collaboration is gratefully acknowledged    MR K023195 1   JBâ  s post is funded
 in the writing of the manuscript   and in the decision to submit this manuscript for publication   Declaration of Interests  JB has received an unrestricted research grant from Pfizer related to the sur   veillance of smoking cessation trends  LSB  SCH  DR  and AM have no con   flicting interests to declare   Acknowledgments  We would to thank Jean FranÃ ois Etter for his advice on the type of e cigare"
"Hajek, P et al. (2015a)",10.1093/ntr/ntu153,Documents/E-cigarette citation library.Data/PDF/1665971782/10.1093_ntr_ntu153-2015.pdf,Nicotine intake from electronic cigarettes on initial use and after 4 weeks of regular use,Nicotine and Tobacco Research,4,Journal article,lementary Material  Supplementary file can be found online at http   www ntr oxford   journals org  Funding  This study was funded by the UK Medicines and Healthcare Products   Regulatory Agency  The study sponsor had no role in the collection  analysis    or interpretation of the data  in writing or approving the manuscript  or in the   decision to submit for publication    Declaration of Interests  PH 
"Vansickel, AR et al. (2010)",10.1158/1055-9965.EPI-10-0288,Documents/E-cigarette citation library.Data/PDF/0801041421/10.1158_1055-9965.EPI-10-0288-2010.pdf,"A clinical laboratory model for evaluating the acute effects of electronic ""cigarettes"": Nicotine delivery profile and cardiovascular and subjective effects",Cancer Epidemiology Biomarkers and Prevention,4,Journal article," the Institutional Review  of Virginia Commonwealth University and was  cted in accordance with the Declaration of Helsinki   six men and women recruited from the Richmond   ia area provided written  informed consent  Prior  ticipation in any experimental sessions  18 indivi   were disqualified based on health concerns  high blood pressure  or failure to meet other inclu   exclusion criteria  see below 
quired to ensure safety and ap   iate labeling and marketing of these products   osure of Potential Conflicts of Interest  otential conflicts of interest were disclosed   owledgments  cknowledge the expert technical and medical assistance provided  staff of VCU s Behavioral Pharmacology Laboratory  Janet Austin   nd Barbara Kilgalen  R N   as well as the staff at VCU s  ytical Core Laboratory Service Cent"
"Farsalinos, KE et al. (2014b)",10.1038/srep04133,Documents/E-cigarette citation library.Data/PDF/3411690790/10.1038_srep04133-2014.pdf,Nicotine absorption from electronic cigarette use: Comparison between first and new-generation devices,Scientific Reports,4,Journal article,"nce of impurities  with results displayed in Table 2  Nicotine  concentration was very close to the declared value  while impurities  and contaminants were present in trace quantities   Nicotine absorption  Venous blood samples were drawn at baseline   after abstinence from EC use for at least 8 hours  Additional blood  samples were drawn at 5 minutes  taking 10 puffs  and every 15  minutes during 1 hou
viewed and approved the manuscript before being submitted for publication   Additional information  Funding  The study was funded by American E Liquid Manufacturing Standards  Association  AEMSA   This is an officially non profit association  501 c  6  status by the  IRS  that was founded and is run by electronic cigarette consumers  AEMSA has provided  advocacy to public health authorities  including th
ts  about electronic cigarettes  The study was  investigator initiated and investigator driven  The funding body had no involvement in the  study design  data collection  analysis and interpretation  writing or approving the  manuscript and decision to submit the manuscript for publication  The study was presented  in part during a meeting with the FDA Center for Tobacco Products by Konstantinos  Farsali
nos   Competing financial interests  The authors declare no competing financial interests   How to cite this article  Farsalinos  K E  et al  Nicotine absorption from electronic cigarette  use  comparison between first and new generation devices  Sci  Rep  4  4133  DOI 10 1038   srep04133  2014    This work is licensed under a Creative Commons Attributi"
"Yan, XS and D'Ruiz, C (2015)",10.1016/j.yrtph.2014.11.004,Documents/E-cigarette citation library.Data/PDF/0161627484/10.1016_j.yrtph.2014.11.004-2015.pdf,Effects of using electronic cigarettes on nicotine delivery and cardiovascular function in comparison with regular cigarettes,Regulatory Toxicology and Pharmacology,4,Journal article,
"Bauld, L et al. (2017)",10.3390/ijerph14090973,Documents/E-cigarette citation library.Data/PDF/2605384306/10.3390_ijerph14090973-2017.pdf,Young people’s use of e-cigarettes across the united kingdom: Findings from five surveys 2015–2017,International Journal of Environmental Research and Public Health,4,Journal article,F  drafted sections of the paper  All authors commented on  drafts and approved the final version   Conflicts of Interest  The authors declare no conflict of interest  The funders had no role in the design of the  study  in the collection  analyses  or interpretation of data  in the writing of the manuscript  and in the decision to  publish the results   References  1  Leventhal  A M   Strong  D R   Kilpa
"Brown, J et al. (2014c)",10.1111/add.12623,Documents/E-cigarette citation library.Data/PDF/3430795311/10.1111_add.12623-2014.pdf,Real-world effectiveness of e-cigarettes when used to aid smoking cessation: A cross-sectional population study,Addiction,4,Journal article,"ence persists after adjusting for  a range of smoker characteristics such as nicotine  dependence   Declaration of interests  All authors have completed the Unified Competing Inter   est form at http   www icmje org coi_disclosure pdf   available on request from the corresponding author  and  declare  JBâ  s post is funded by a fellowship from the UK  Society for the Study of Addiction  R W  is funded b
are no other relationships or activities that  could appear to have influenced the submitted work   Funding was provided for the conduct of this research  and preparation of the manuscript  The funders had no  1538 Jamie Brown et al   Â  2014 The Authors  Addiction published by John Wiley   Sons Ltd on behalf of Society for the Study of Addiction Addiction  109  1531â  1540  final role in the study desig
 decisions about the research were  taken by the investigators and were unrestricted   Transparency declaration  J B  affirms that the manuscript is an honest  accurate   and transparent account of the study being reported   that no important aspects of the study have been omitted   and that any discrepancies from the study as planned  have been explained   STROBE statement  All authors declare that stu"
"Kosmider, L et al. (2014)",10.1093/ntr/ntu078,Documents/E-cigarette citation library.Data/PDF/0018168006/10.1093_ntr_ntu078-2014.pdf,Carbonyl compounds in electronic cigarette vapors: Effects of nicotine solvent and battery output voltage,Nicotine and Tobacco Research,4,Journal article,"tary Material  Supplementary FigureÂ 1 can be found online at http   www ntr   oxfordjournals org   Funding  This work was supported by institutional internal funding from   the Institute of Occupational Medicine and Environmental   FigureÂ 1  Effects of nicotine solvent and battery output voltage on levels of carbonyl compounds released from ECs  Âµg 15 puffs    NÂ  Â 3  puff duration 1 8 s  puff volume
cision to   submit the manuscript for publication   deClaratiOn OF interests  MLG received research funding from Pfizer  manufacturer   of stop smoking medication  AS received research funds and   travel expenses from Chic Group LTD  manufacturer of elec   tronic cigarettes in Poland   aCknOwledgMents  We thank Dr  R Â  Oâ  Connor for valuable comments and   C Â Steger for editorial assistance with the m"
"Cervellati, F et al. (2014)",10.1016/j.tiv.2014.04.012,Documents/E-cigarette citation library.Data/PDF/0527273589/10.1016_j.tiv.2014.04.012-20141.pdf,Comparative effects between electronic and cigarette smoke in human keratinocytes and epithelial lung cells,Toxicology in Vitro,3,Journal article, the data herein presented   F  Cervellati et al    Toxicology in Vitro 28  2014  999â  1005 10055  Funding  HJF is supported by NIH grant ES020942   Conflict of Interest  The authors declare that there are no conflicts of interest   Transparency Document  The Transparency document associated with this article can be  found in the online version Acknowledgements  The authors thank Marangoniâ  s Pharmacy 
"Grana, R and Ling, PM (2014)",10.1016/j.amepre.2013.12.010,Documents/E-cigarette citation library.Data/PDF/2200888649/10.1016_j.amepre.2013.12.010-2014.pdf,"""Smoking revolution"": A content analysis of electronic cigarette retail websites",American Journal of Preventive Medicine,3,Journal article,ance on SurveyGizmo data collection  systems  and Nathan Galicia for assistance with web searches   Funding sources for this study include the National Cancer  Institute  RO1 141661 and R25T 113710  and Californiaâ  s  Tobacco Related Disease Research Program   21FT 0040    The funding agencies played no part in the selection of topic   design  analysis  or interpretation of our study   No financial disc
"de Andrade, M et al. (2013b)",10.1136/bmj.f7473,Documents/E-cigarette citation library.Data/PDF/0308281072/10.1136_bmj.f7473-2013.pdf,Promotion of electronic cigarettes: tobacco marketing reinvented?,BMJ (Clinical research ed.),3,Journal article,rs approved the final version   Competing interests  We have read and understood the BMJ policy on  declaration of interests and declare that the study on which this article  is based was funded by Cancer Research UK  The authors are members  of the UK Centre for Tobacco and Alcohol Studies  www ukctas ac uk   and have received funding from the British Heart Foundation  Cancer  Research UK  the Economic
"Geiss, O et al. (2015)",10.1016/j.ijheh.2014.10.001,Documents/E-cigarette citation library.Data/PDF/1220886143/10.1016_j.ijheh.2014.10.001-20151.pdf,Characterisation of mainstream and passive vapours emitted by selected electronic cigarettes,International Journal of Hygiene and Environmental Health,3,Journal article,"  i  â    a  r  n  c  b  i  s  i  a  fi  b  s     W  m  s     a  C  d  a  s  1  U  a  r  a  d  d  a Declared by the manufacturer   b Filler liquid used for all measurement in this study  â  velvetâ   and â  traditionalâ      nalysing it by means of TenaxÂ  TA tubes  thermal desorption  nd GCâ  MS analysis  None of the investigated compounds were  etected in the gas sampling bag  thus proving the quantit
mpanying leaflet provided by the manufacturer  pro   portions of propylene glycol and glycerol were declared as being  46  and 45  for â  traditionalâ   and 83  glycerol for â  velvetâ   refill liq   uids  Values measured in this study  Table 3  are very close to  the declared values  The similarity of concentrations for propyl   ene glycol and glycerol between refill liquid bottles with differing  174 
 glycol  nd glycerol  Nicotine contents determined in this study system   tically exceed the values declared on the liquid refill bottles by  pproximately 10   In practice  however  this seems to be non   ritical in terms of increased inhalation of nicotine while vaping   iquids declared as nicotine free were proven to contain no nico   ine above the detection limit   The sum of the main components repo
s  however   howed differences in composition  Analysis of a â  traditionalâ   refill  iquid with a declared nicotine level of 9 mg  mLâˆ 1 that was  pur   hased approximately three months earlier than that used for all  ther studies  resulted in determined levels of 9 3 mg  mLâˆ 1 of nico   ine  324 mg  mLâˆ 1 of propylene glycol and 605 mg  mLâˆ 1 of glycerol   vident differences in concentrations for
of nicotine  propylene glycol and glycerol trapped on filter  13 puffs   V  eviation   Traditional  Declared conc  of nicotine Nicotine   g filter  Pr  e cig Type A e cig Type B e   0 mg  mLâˆ 1  DLa  DLa 11  9  mg  mLâˆ 1 0 21 Â  0 03 0 11 Â  0 01 10  18  mg  mLâˆ 1 0 42 Â  0 02 0 46 Â  0 02 12  Velvet  Declared conc  of nicotine Nicotine   g filter  Pr  e cig Type A e cig Type B e   0 mg  mLâˆ 1  DLa 
 of e cigarettes and refill liquids should be har   onised   onflict of interest statement  Authors declare that they have no conflict of interest  They have  ever received products for research purposes from  never under   aken research for and never received funding from the e cigarette   obacco or pharmaceutical industries   The content of this work reflects the views of the authors and  oes not nece"
"Vansickel, AR and Eissenberg, T (2013)",10.1093/ntr/ntr316,Documents/E-cigarette citation library.Data/PDF/0065930640/10.1093_ntr_ntr316-20131.pdf,Electronic cigarettes: Effective nicotine delivery after acute administration,Nicotine and Tobacco Research,3,Journal article,"may be more consistent nicotine delivery  device performance    and cartridge and vapor content     Funding    This report was supported partially by the  National Institutes of   Health   R01 CA120142 to TE and  T32 DA007027 to ARV      Declaration of Interest s    The authors have no confl icts of interest to declare  The sponsor   had no role in the design and conduct of the study  or in the prep   ar
may be more consistent nicotine delivery  device performance    and cartridge and vapor content     Funding    This report was supported partially by the  National Institutes of   Health   R01 CA120142 to TE and  T32 DA007027 to ARV      Declaration of Interest s    The authors have no confl icts of interest to declare  The sponsor   had no role in the design and conduct of the study  or in the prep   ar"
